,Date,Open,Close,High,Volume,aggregate_sentiment_score,Movement,Daily_Return,Volatility,sentiment_volatility,sentiment_volatility_lag1,aggregate_sentiment_score_lag1,Close_lag1,High_lag1,Volume_lag1,Daily_Return_lag1,Volatility_lag1
12,2007-08-01,1455.18,1465.81,1468.38,5256780000.0,-0.15,0,0.7242642258824761,1.2572018110415992,0.2702221308479378,0.26814175355583847,0.0,1455.27,1488.3,4524520000.0,-0.25155249701839244,0.9919569916787498
13,2007-08-07,1467.61,1476.7,1488.3,4909390000.0,0.0,1,0.7429339409609881,1.384400810345061,0.2623356628443796,0.2702221308479378,-0.15,1465.81,1468.38,5256780000.0,0.7242642258824761,1.2572018110415992
14,2007-08-10,1453.08,1453.64,1462.02,5345780000.0,-0.67,0,-1.5615900318277198,1.1598053289156427,0.367736318576232,0.2623356628443796,0.0,1476.7,1488.3,4909390000.0,0.7429339409609881,1.384400810345061
15,2007-08-13,1453.42,1452.92,1466.29,3696280000.0,-0.2,0,-0.04953083294351179,0.9420091259156397,0.2753724750224684,0.367736318576232,-0.67,1453.64,1462.02,5345780000.0,-1.5615900318277198,1.1598053289156427
16,2007-08-14,1452.86,1426.54,1456.73,3814630000.0,-0.23,0,-1.8156539933375626,1.229444742777538,0.2508983858058876,0.2753724750224684,-0.2,1452.92,1466.29,3696280000.0,-0.04953083294351179,0.9420091259156397
17,2007-08-15,1426.15,1406.69,1440.78,4290930000.0,-0.1,0,-1.3914786826867753,1.107263964834355,0.2568073207679252,0.2508983858058876,-0.23,1426.54,1456.73,3814630000.0,-1.8156539933375626,1.229444742777538
18,2007-08-16,1406.64,1411.27,1415.96,6509300000.0,0.01,0,0.3255870163290986,0.967345011358395,0.2591717577206282,0.2568073207679252,-0.1,1406.69,1440.78,4290930000.0,-1.3914786826867753,1.107263964834355
19,2007-08-17,1411.26,1445.93,1450.32,3570040000.0,0.0,0,2.4559439370212655,1.682838598114694,0.11058933040759406,0.2591717577206282,0.01,1411.27,1415.96,6509300000.0,0.3255870163290986,0.967345011358395
20,2007-08-20,1445.93,1445.55,1451.75,3321340000.0,-0.05,0,-0.026280663655919856,1.6830278525588276,0.0976217188949263,0.11058933040759406,0.0,1445.93,1450.32,3570040000.0,2.4559439370212655,1.682838598114694
21,2007-08-28,1466.71,1432.35,1466.71,3078090000.0,-1.13,1,-0.913147244993262,1.4889422883844528,0.4916604519381236,0.0976217188949263,-0.05,1445.55,1451.75,3321340000.0,-0.026280663655919856,1.6830278525588276
