Date,Open,Close,High,Volume
2023-07-14,4514.6,4505.41,4527.75,3647450000.0
2023-07-13,4491.5,4510.04,4517.37,3839530000.0
2023-07-12,4467.68,4472.16,4488.33,3920290000.0
2023-07-11,4415.54,4439.25,4443.64,3624220000.0
2023-07-10,4394.22,4409.52,4412.6,3429600000.0
2023-07-07,4404.54,4398.95,4440.39,3630480000.0
2023-07-06,4422.62,4411.58,4422.62,3682020000.0
2023-07-05,4442.04,4446.81,4454.06,3482620000.0
2023-07-03,4450.47,4455.58,4456.45,2034280000.0
2023-06-30,4422.43,4450.37,4458.47,3923450000.0
2023-06-29,4374.93,4396.43,4398.39,3696660000.0
2023-06-28,4367.47,4376.85,4390.35,3739330000.0
2023-06-27,4337.35,4378.41,4384.41,3573500000.0
2023-06-26,4344.83,4328.81,4362.06,3415030000.0
2023-06-23,4354.16,4348.33,4366.54,6053620000.0
2023-06-22,4355.39,4381.89,4382.25,3511000000.0
2023-06-21,4380.0,4365.68,4386.22,3709330000.0
2023-06-20,4396.1,4388.7,4400.14,4055790000.0
2023-06-16,4440.95,4409.58,4448.47,6848600000.0
2023-06-15,4365.33,4425.83,4439.2,4176690000.0
2023-06-14,4366.29,4372.58,4391.81,4252110000.0
2023-06-13,4352.6,4369.0,4375.37,4275400000.0
2023-06-12,4308.31,4338.93,4340.12,3945670000.0
2023-06-09,4304.87,4298.85,4322.62,3786510000.0
2023-06-08,4268.68,4293.93,4298.0,3826740000.0
2023-06-07,4285.47,4267.52,4299.18,4537800000.0
2023-06-06,4271.33,4283.85,4288.33,3996560000.0
2023-06-05,4282.99,4273.79,4299.27,3813290000.0
2023-06-02,4241.0,4282.37,4290.66,4454200000.0
2023-06-01,4183.02,4221.02,4232.43,4391860000.0
2023-05-31,4190.74,4179.83,4195.43,5980670000.0
2023-05-30,4226.7,4205.52,4231.1,4228510000.0
2023-05-26,4156.16,4205.45,4212.87,3715460000.0
2023-05-25,4155.7,4151.27,4165.74,4147760000.0
2023-05-24,4132.95,4115.24,4132.95,3739160000.0
2023-05-23,4176.79,4145.58,4185.68,4155320000.0
2023-05-22,4190.77,4192.62,4209.22,3728520000.0
2023-05-19,4204.14,4191.97,4212.91,4041900000.0
2023-05-18,4157.68,4198.04,4202.2,3980500000.0
2023-05-17,4122.85,4158.77,4164.66,4039080000.0
2023-05-16,4127.95,4109.89,4135.54,3654200000.0
2023-05-15,4126.64,4136.27,4141.25,3562170000.0
2023-05-12,4138.54,4124.08,4143.74,3533740000.0
2023-05-11,4132.24,4130.62,4132.79,3752900000.0
2023-05-10,4143.74,4137.64,4154.27,4057160000.0
2023-05-09,4124.25,4119.16,4130.35,3810140000.0
2023-05-08,4136.97,4138.12,4142.29,3641640000.0
2023-05-05,4084.72,4136.25,4147.02,4186270000.0
2023-05-04,4082.55,4061.21,4082.61,4920090000.0
2023-05-03,4122.25,4090.75,4148.29,4246510000.0
2023-05-02,4164.1,4119.58,4164.1,4486130000.0
2023-05-01,4166.79,4167.87,4186.91,3321370000.0
2023-04-28,4129.62,4169.47,4170.06,4087800000.0
2023-04-27,4075.29,4135.35,4138.24,3750550000.0
2023-04-26,4087.78,4055.98,4089.66,3837030000.0
2023-04-25,4126.43,4071.62,4126.43,3978640000.0
2023-04-24,4132.06,4137.04,4142.41,3290940000.0
2023-04-21,4132.14,4133.52,4138.02,3611750000.0
2023-04-20,4130.47,4129.79,4148.56,3772080000.0
2023-04-19,4139.33,4154.52,4162.56,3572560000.0
2023-04-18,4164.25,4154.87,4169.47,3536640000.0
2023-04-17,4137.16,4151.31,4151.72,3611180000.0
2023-04-14,4140.1,4137.64,4163.18,3575690000.0
2023-04-13,4100.04,4146.22,4150.25,3596590000.0
2023-04-12,4121.72,4091.94,4134.37,3633120000.0
2023-04-11,4110.29,4108.93,4124.25,3665830000.0
2023-04-10,4085.19,4109.1,4109.5,3423650000.0
2023-04-06,4081.14,4105.02,4107.31,3486690000.0
2023-04-05,4094.5,4090.37,4099.68,3968020000.0
2023-04-04,4128.02,4100.6,4133.12,4227800000.0
2023-04-03,4102.2,4124.5,4127.66,4234700000.0
2023-03-31,4056.17,4109.31,4110.75,4525120000.0
2023-03-30,4046.73,4050.83,4057.85,3930860000.0
2023-03-29,3999.53,4027.81,4030.59,4145250000.0
2023-03-28,3974.12,3971.27,3979.19,4014600000.0
2023-03-27,3982.92,3977.53,4003.83,4233540000.0
2023-03-24,3939.2,3970.98,3972.73,4583970000.0
2023-03-23,3959.2,3948.71,4007.65,4991600000.0
2023-03-22,4002.04,3936.96,4039.48,4533010000.0
2023-03-21,3975.88,4002.87,4009.08,4920240000.0
2023-03-20,3917.46,3951.57,3956.62,5347140000.0
2023-03-17,3958.68,3916.63,3958.9,9354280000.0
2023-03-16,3878.92,3960.28,3964.45,5695790000.0
2023-03-15,3876.73,3891.92,3894.26,6594010000.0
2023-03-14,3894.01,3919.29,3937.29,5665870000.0
2023-03-13,3835.12,3855.76,3905.05,6558020000.0
2023-03-10,3912.77,3861.59,3934.05,5518190000.0
2023-03-09,3998.65,3918.32,4017.81,4445260000.0
2023-03-08,3987.55,3992.01,4000.4,3535570000.0
2023-03-07,4048.26,3986.37,4050.0,3922500000.0
2023-03-06,4055.14,4048.41,4078.48,4000870000.0
2023-03-03,3998.02,4045.63,4048.29,4084730000.0
2023-03-02,3938.67,3981.35,3990.84,4244900000.0
2023-03-01,3963.34,3951.38,3971.72,4249480000.0
2023-02-28,3977.18,3970.14,3997.5,5043400000.0
2023-02-27,3992.36,3982.23,4018.05,3836950000.0
2023-02-24,3973.23,3970.04,3978.25,3877700000.0
2023-02-23,4018.6,4012.32,4028.3,3952940000.0
2023-02-22,4001.83,3991.05,4017.37,4079320000.0
2023-02-21,4052.35,3997.34,4052.35,4121590000.0
2023-02-17,4077.38,4079.09,4081.51,4045480000.0
2023-02-16,4114.75,4090.4,4136.54,4143660000.0
2023-02-15,4119.5,4147.6,4148.1,4075980000.0
2023-02-14,4126.7,4136.12,4159.77,3929200000.0
2023-02-13,4096.62,4137.29,4138.89,3448620000.0
2023-02-10,4068.91,4090.45,4094.36,3891520000.0
2023-02-09,4144.25,4081.5,4156.22,4270200000.0
2023-02-08,4153.47,4117.85,4156.85,4029820000.0
2023-02-07,4105.35,4164.0,4176.54,4355860000.0
2023-02-06,4119.56,4111.08,4124.62,4114240000.0
2023-02-03,4136.68,4136.47,4182.35,4694510000.0
2023-02-02,4158.68,4179.75,4195.43,5624360000.0
2023-02-01,4070.07,4119.2,4148.95,4856930000.0
2023-01-31,4020.85,4076.6,4077.15,4679320000.0
2023-01-30,4049.27,4017.77,4063.85,3802000000.0
2023-01-27,4053.71,4070.56,4094.2,3907760000.0
2023-01-26,4036.08,4060.42,4061.57,3809590000.0
2023-01-25,3982.7,4016.21,4019.55,3724020000.0
2023-01-24,4001.73,4016.94,4023.91,3320430000.0
2023-01-23,3978.13,4019.81,4039.31,3945210000.0
2023-01-20,3909.04,3972.61,3972.95,4013360000.0
2023-01-19,3911.84,3898.85,3922.93,3991500000.0
2023-01-18,4002.25,3928.86,4014.15,4298710000.0
2023-01-17,3999.28,3990.96,4015.38,4235560000.0
2023-01-13,3960.6,3999.09,4003.94,3939700000.0
2023-01-12,3977.57,3983.16,3997.76,4440260000.0
2023-01-11,3932.35,3969.61,3970.07,4303360000.0
2023-01-10,3888.57,3919.25,3919.83,3851030000.0
2023-01-09,3910.82,3892.09,3950.57,4311770000.0
2023-01-06,3823.37,3895.08,3906.18,3923560000.0
2023-01-05,3839.73,3808.1,3839.73,3893450000.0
2023-01-04,3840.36,3852.96,3873.15,4414080000.0
2023-01-03,3853.29,3824.13,3878.45,3959140000.0
2022-12-30,3829.06,3839.5,3839.85,2979870000.0
2022-12-29,3805.44,3849.28,3858.18,3003680000.0
2022-12-28,3829.56,3783.21,3848.32,3083520000.0
2022-12-27,3843.34,3829.25,3846.64,3030300000.0
2022-12-23,3815.11,3844.82,3845.8,2819280000.0
2022-12-22,3853.26,3822.38,3853.26,3956950000.0
2022-12-21,3839.48,3878.43,3889.82,3775200000.0
2022-12-20,3810.46,3821.62,3838.23,3985370000.0
2022-12-19,3853.79,3817.65,3854.86,3969610000.0
2022-12-16,3890.9,3852.36,3890.9,7493660000.0
2022-12-15,3958.37,3895.75,3958.37,4493900000.0
2022-12-14,4015.54,3995.32,4053.76,4472340000.0
2022-12-13,4069.37,4019.64,4100.95,5079360000.0
2022-12-12,3939.29,3990.56,3990.7,3904130000.0
2022-12-09,3954.16,3934.37,3977.02,3888260000.0
2022-12-08,3947.79,3963.51,3974.18,4006900000.0
2022-12-07,3933.28,3933.91,3957.57,4118050000.0
2022-12-06,3996.62,3941.26,4001.51,4368380000.0
2022-12-05,4052.02,3998.84,4052.44,4280820000.0
2022-12-02,4040.16,4071.69,4080.47,4012620000.0
2022-12-01,4087.13,4076.57,4100.5,4527130000.0
2022-11-30,3957.17,4080.11,4080.11,6579360000.0
2022-11-29,3964.18,3957.62,3976.77,3546040000.0
2022-11-28,4005.36,3963.93,4012.27,3615430000.0
2022-11-25,4023.34,4026.12,4034.02,1706460000.0
2022-11-23,4000.3,4027.26,4033.78,3279720000.0
2022-11-22,3965.51,4003.58,4005.87,3887990000.0
2022-11-21,3956.22,3949.93,3962.0,3850690000.0
2022-11-18,3966.38,3965.34,3979.88,4037360000.0
2022-11-17,3919.26,3946.56,3954.33,4051780000.0
2022-11-16,3976.82,3958.79,3983.09,4165320000.0
