,Date,Open,Close,High,Volume,aggregate_sentiment_score,Movement,Momentum,lagged_sentiment_score,rolling_sentiment_score,log_return,conditional_volatility,volatility_shocks,lagged_volatility_1,lagged_volatility_2,lagged_volatility_3
1,2023-06-28,4367.47,4376.85,4390.35,3739330000.0,1.24,0,-1.559999999999491,0.83,,-0.0044635603806763334,0.694315141202755,-0.6428723955154073,,,
2,2023-06-27,4337.35,4378.41,4384.41,3573500000.0,0.83,0,30.079999999999927,-1.12,,0.00035635721075287854,0.6657028159116359,0.053530975419545275,0.694315141202755,,
3,2023-06-23,4354.16,4348.33,4366.54,6053620000.0,-1.12,0,-33.5600000000004,0.05,,-0.006893781441246126,0.6241452931416491,-1.10451548974216,0.6657028159116359,0.694315141202755,
4,2023-06-22,4355.39,4381.89,4382.25,3511000000.0,0.05,0,16.210000000000036,1.06,,0.007688274822306998,0.6381862900745794,1.2047069863265998,0.6241452931416491,0.6657028159116359,0.694315141202755
5,2023-06-21,4380.0,4365.68,4386.22,3709330000.0,1.06,0,-23.019999999999527,-0.01,,-0.003706176356335612,0.6924450014069282,-0.5352304296811016,0.6381862900745794,0.6241452931416491,0.6657028159116359
6,2023-06-20,4396.1,4388.7,4400.14,4055790000.0,-0.01,0,-20.88000000000011,2.9,0.4642857142857143,0.005259093860986074,0.6575740550318786,0.7997721048667468,0.6924450014069282,0.6381862900745794,0.6241452931416491
7,2023-06-16,4440.95,4409.58,4448.47,6848600000.0,2.9,1,-16.25,-0.1999999999999999,0.7071428571428571,0.004746391158068042,0.6635714868168494,0.7152795519946867,0.6575740550318786,0.6924450014069282,0.6381862900745794
8,2023-06-15,4365.33,4425.83,4439.2,4176690000.0,-0.1999999999999999,0,53.25,0.51,0.5014285714285714,0.0036783846641109605,0.6609179649241149,0.5565569192136129,0.6635714868168494,0.6575740550318786,0.6924450014069282
9,2023-06-14,4366.29,4372.58,4391.81,4252110000.0,0.51,0,3.5799999999999272,1.1800000000000002,0.4557142857142857,-0.012104607579705393,0.6448041140941712,-1.8772534658390163,0.6609179649241149,0.6635714868168494,0.6575740550318786
10,2023-06-13,4352.6,4369.0,4375.37,4275400000.0,1.1800000000000002,1,30.06999999999971,0.68,0.7842857142857144,-0.000819073943187915,0.7645751617849559,-0.10712798219546234,0.6448041140941712,0.6609179649241149,0.6635714868168494
11,2023-06-12,4308.31,4338.93,4340.12,3945670000.0,0.68,1,40.07999999999993,1.12,0.8742857142857143,-0.0069063760327007125,0.7104326729632796,-0.9721366000656455,0.7645751617849559,0.6448041140941712,0.6609179649241149
12,2023-06-09,4304.87,4298.85,4322.62,3786510000.0,1.12,1,4.920000000000073,-0.66,0.8828571428571429,-0.009280228866498267,0.7092535632132788,-1.3084500872232658,0.7104326729632796,0.7645751617849559,0.6448041140941712
13,2023-06-08,4268.68,4293.93,4298.0,3826740000.0,-0.66,1,26.409999999999854,1.02,0.79,-0.0011451475628746063,0.7490796482034725,-0.15287393878888964,0.7092535632132788,0.7104326729632796,0.7645751617849559
14,2023-06-07,4285.47,4267.52,4299.18,4537800000.0,1.02,1,-16.329999999999927,-0.73,0.5214285714285715,-0.0061695352470970185,0.6967888326603898,-0.8854239559984465,0.7490796482034725,0.7092535632132788,0.7104326729632796
15,2023-06-06,4271.33,4283.85,4288.33,3996560000.0,-0.73,0,10.0600000000004,1.79,0.4457142857142858,0.0038192757067675174,0.6874400994592428,0.5555794184499644,0.6967888326603898,0.7490796482034725,0.7092535632132788
16,2023-06-05,4282.99,4273.79,4299.27,3813290000.0,1.79,1,-8.579999999999927,2.15,0.6285714285714287,-0.0023511165774901697,0.6690259431089061,-0.3514238276866713,0.6874400994592428,0.6967888326603898,0.7490796482034725
17,2023-06-02,4241.0,4282.37,4290.66,4454200000.0,2.15,1,61.349999999999454,0.56,0.7671428571428571,0.0020055732655681,0.6288510945286909,0.3189265762622597,0.6690259431089061,0.6874400994592428,0.6967888326603898
18,2023-06-01,4183.02,4221.02,4232.43,4391860000.0,0.56,1,41.19000000000051,-1.7,0.75,-0.014429789652143624,0.6007607968969622,-2.4019193207473073,0.6288510945286909,0.6690259431089061,0.6874400994592428
19,2023-05-31,4190.74,4179.83,4195.43,5980670000.0,-1.7,0,-25.69000000000051,0.5700000000000001,0.3471428571428571,-0.00980622914966539,0.7990081313926749,-1.2273002945005187,0.6007607968969622,0.6288510945286909,0.6690259431089061
20,2023-05-30,4226.7,4205.52,4231.1,4228510000.0,0.5700000000000001,1,0.0700000000006184,1.38,0.5228571428571429,0.006127372232971808,0.830157026860754,0.7380979784201213,0.7990081313926749,0.6007607968969622,0.6288510945286909
21,2023-05-26,4156.16,4205.45,4212.87,3715460000.0,1.38,1,54.17999999999938,0.79,0.5742857142857142,-1.6644929182282422e-05,0.8199823207963,-0.0020299131774107306,0.830157026860754,0.7990081313926749,0.6007607968969622
